id,наименование_задачи,тип_задачи,технологический_стек,срок_выполнения_дней,цена_руб,ценовой_диапазон
1945,Анализ тональности отзывов,ML-модель,PyTorch,19,34500,30 000–60 000 ₽
1946,Каталог с корзиной на Flutter,Мобильное приложение,Kotlin (Android),22,58000,30 000–60 000 ₽
1947,Магазин детских товаров,Интернет-магазин,Shopify,29,33000,30 000–60 000 ₽
1948,API авторизации JWT и OAuth,Написание API,NestJS+TypeScript,21,24200,15 000–30 000 ₽
1949,Вёрстка дашборда аналитики,Вёрстка,Next.js+SCSS,7,15000,15 000–30 000 ₽
1950,Приложение для бронирования,Мобильное приложение,Swift (iOS),57,43500,30 000–60 000 ₽
1951,Дизайн-система и UI-кит,UI/UX Дизайн,Sketch,18,5100,5 000–15 000 ₽
1952,Kubernetes-манифесты,CI/CD и DevOps,Kubernetes+Helm,2,21000,15 000–30 000 ₽
1953,Вёрстка административной панели,Вёрстка,React+CSS Modules,5,12500,5 000–15 000 ₽
1954,Интеграция Bitrix24,Автоматизация и скрипты,Python,13,2500,до 5 000 ₽
1955,Pixel-perfect вёрстка карточки товара,Вёрстка,Vue.js+CSS,14,6000,5 000–15 000 ₽
1956,Интернет-магазин одежды,Интернет-магазин,Laravel+Vue,25,52700,30 000–60 000 ₽
1957,Докеризация приложения,CI/CD и DevOps,GitLab CI,3,10000,5 000–15 000 ₽
1958,Мониторинг сервера с алертами,Автоматизация и скрипты,Bash+Python,1,3500,до 5 000 ₽
1959,Лендинг для онлайн-курса,Лендинг,HTML+Bootstrap,5,5000,5 000–15 000 ₽
1960,Вёрстка страницы оформления заказа,Вёрстка,HTML+Tailwind,3,9000,5 000–15 000 ₽
1961,Дизайн лендинга в Figma,UI/UX Дизайн,Figma,7,11000,5 000–15 000 ₽
1962,Клиентское приложение для барбершопа,Мобильное приложение,Flutter+Firebase,14,35000,30 000–60 000 ₽
1963,Лендинг для онлайн-курса,Лендинг,WordPress,18,7800,5 000–15 000 ₽
1964,Лендинг для службы доставки,Лендинг,HTML+Bootstrap,16,4000,до 5 000 ₽
1965,Вёрстка мобильного меню,Вёрстка,Vue.js+CSS,7,6000,5 000–15 000 ₽
1966,Маркетплейс для мастеров,Интернет-магазин,1C-Bitrix,21,35000,30 000–60 000 ₽
1967,Внутренний инструмент управления задачами,Fullstack-разработка,React+Spring Boot,29,107400,60 000–120 000 ₽
1968,Платформа онлайн-курсов с оплатой,Fullstack-разработка,React+Kotlin+PostgreSQL,18,87000,60 000–120 000 ₽
1969,Дизайн onboarding-flow,UI/UX Дизайн,Figma+Lottie,13,26000,15 000–30 000 ₽
1970,Каталог товаров с корзиной,Интернет-магазин,1C-Bitrix,9,16800,15 000–30 000 ₽
1971,Одностраничный сайт для юридических услуг,Лендинг,WordPress,6,4000,до 5 000 ₽
1972,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Sketch,18,12000,5 000–15 000 ₽
1973,Дизайн-система и UI-кит,UI/UX Дизайн,Sketch,15,8000,5 000–15 000 ₽
1974,Автоматизация отчётности Google Sheets,Автоматизация и скрипты,Zapier+Python,8,11500,5 000–15 000 ₽
1975,Детекция аномалий,ML-модель,scikit-learn+pandas,4,16000,15 000–30 000 ₽
1976,Одностраничный сайт для юридических услуг,Лендинг,WordPress,15,3500,до 5 000 ₽
1977,Ускорение отчётов PostgreSQL,Оптимизация SQL,MySQL,3,6000,5 000–15 000 ₽
1978,Лендинг для онлайн-курса,Лендинг,WordPress,16,3000,до 5 000 ₽
1979,Продающий лендинг для SaaS,Лендинг,HTML+CSS+JS,16,4100,до 5 000 ₽
1980,Парсер товаров с маркетплейса,Парсинг данных,Python+requests,3,3000,до 5 000 ₽
1981,Дизайн onboarding-flow,UI/UX Дизайн,Figma+Lottie,3,28500,15 000–30 000 ₽
1982,Скрипт обработки изображений,Автоматизация и скрипты,Zapier+Python,11,7700,5 000–15 000 ₽
1983,Webhook-интеграция с Telegram,Написание API,Django REST,21,7100,5 000–15 000 ₽
1984,Ювелирный интернет-магазин,Интернет-магазин,1C-Bitrix,33,26000,15 000–30 000 ₽
1985,Лендинг для агентства недвижимости,Лендинг,HTML+CSS+JS,7,7800,5 000–15 000 ₽
1986,Full-text search PostgreSQL,Оптимизация SQL,PostgreSQL+ORM,10,4000,до 5 000 ₽
1987,Мониторинг цен конкурентов,Парсинг данных,Python+Playwright,13,12500,5 000–15 000 ₽
1988,Лендинг для медицинской клиники,Лендинг,Vue.js,12,7700,5 000–15 000 ₽
1989,Вёрстка email-шаблона,Вёрстка,HTML+CSS+BEM,7,3800,до 5 000 ₽
1990,Вёрстка личного кабинета,Вёрстка,Next.js+SCSS,2,7500,5 000–15 000 ₽
1991,Мониторинг наличия на Wildberries,Парсинг данных,Python+BeautifulSoup,7,5400,5 000–15 000 ₽
1992,Дизайн-система и UI-кит,UI/UX Дизайн,Figma+FigJam,11,14000,5 000–15 000 ₽
1993,Вёрстка личного кабинета,Вёрстка,Vue.js+CSS,9,11000,5 000–15 000 ₽
1994,Многопользовательский чат,Fullstack-разработка,Vue.js+Django+PostgreSQL,33,49000,30 000–60 000 ₽
1995,Лендинг для агентства недвижимости,Лендинг,Vue.js,16,15200,15 000–30 000 ₽
1996,CRUD API системы задач,Написание API,Kotlin+Ktor,17,26000,15 000–30 000 ₽
1997,API для мобильного приложения,Написание API,Spring Boot,8,19000,15 000–30 000 ₽
1998,Адаптивная вёрстка корпоративного сайта,Вёрстка,HTML+Bootstrap 5,2,8200,5 000–15 000 ₽
1999,Вёрстка личного кабинета,Вёрстка,React+CSS Modules,6,9800,5 000–15 000 ₽
2000,Автоматизация отчётности Google Sheets,Автоматизация и скрипты,Python+openpyxl,8,7000,5 000–15 000 ₽
2001,REST API для каталога с пагинацией,Написание API,FastAPI+PostgreSQL,16,12700,5 000–15 000 ₽
2002,Лендинг для event-агентства,Лендинг,React,14,12000,5 000–15 000 ₽
2003,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Adobe XD,2,19000,15 000–30 000 ₽
2004,Приложение для записи к врачу,Мобильное приложение,React Native+TS,22,22000,15 000–30 000 ₽
2005,Автовыгрузка данных в Excel,Автоматизация и скрипты,Bash+Python,3,6600,5 000–15 000 ₽
2006,Лендинг для онлайн-курса,Лендинг,WordPress,3,9000,5 000–15 000 ₽
2007,Nginx+SSL+reverse proxy,CI/CD и DevOps,Terraform+AWS,1,18000,15 000–30 000 ₽
2008,Лендинг для медицинской клиники,Лендинг,HTML+CSS+JS,13,4800,до 5 000 ₽
2009,Мониторинг сервера с алертами,Автоматизация и скрипты,Python+openpyxl,8,7400,5 000–15 000 ₽
2010,Дизайн лендинга в Figma,UI/UX Дизайн,Figma,12,16900,15 000–30 000 ₽
2011,Учебное приложение с карточками,Мобильное приложение,Flutter,49,41600,30 000–60 000 ₽
2012,REST API для каталога с пагинацией,Написание API,NestJS+TypeScript,7,17200,15 000–30 000 ₽
2013,Каталог товаров с корзиной,Интернет-магазин,Shopify,40,36600,30 000–60 000 ₽
2014,Индексирование и рефакторинг JOIN,Оптимизация SQL,PostgreSQL,3,7000,5 000–15 000 ₽
2015,Дизайн лендинга в Figma,UI/UX Дизайн,Figma+Principle,17,22800,15 000–30 000 ₽
2016,Приложение трекинга тренировок,Мобильное приложение,Swift (iOS),15,72000,60 000–120 000 ₽
2017,Telegram-бот для уведомлений,Автоматизация и скрипты,n8n,1,6000,5 000–15 000 ₽
2018,Учебное приложение с карточками,Мобильное приложение,Flutter+Firebase,14,75500,60 000–120 000 ₽
2019,Дизайн email-шаблона,UI/UX Дизайн,Adobe XD,15,10500,5 000–15 000 ₽
2020,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma+Principle,12,24000,15 000–30 000 ₽
2021,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+Bootstrap 5,14,6000,5 000–15 000 ₽
2022,Каталог с корзиной на Flutter,Мобильное приложение,React Native+Redux,48,53800,30 000–60 000 ₽
2023,Приложение для записи к врачу,Мобильное приложение,Swift (iOS),27,92300,60 000–120 000 ₽
2024,Вёрстка дашборда аналитики,Вёрстка,Next.js+SCSS,14,8000,5 000–15 000 ₽
2025,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+CSS+BEM,10,6000,5 000–15 000 ₽
2026,Мониторинг цен конкурентов,Парсинг данных,Python+requests,14,5100,5 000–15 000 ₽
2027,Лендинг для медицинской клиники,Лендинг,React,14,10000,5 000–15 000 ₽
2028,React-таблица с сортировкой,UI-компонент,React+Storybook,10,5000,5 000–15 000 ₽
2029,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+CSS+BEM,5,7000,5 000–15 000 ₽
2030,Лендинг для фитнес-клуба,Лендинг,HTML+CSS+JS,18,8000,5 000–15 000 ₽
2031,Интернет-аптека с кабинетом,Интернет-магазин,Laravel+Vue,36,37000,30 000–60 000 ₽
2032,Лендинг для event-агентства,Лендинг,Vue.js,6,8000,5 000–15 000 ₽
2033,API авторизации JWT и OAuth,Написание API,NestJS+TypeScript,17,19700,15 000–30 000 ₽
2034,Вёрстка мобильного меню,Вёрстка,React+CSS Modules,13,10000,5 000–15 000 ₽
2035,UX-аудит сайта,UI/UX Дизайн,Adobe XD,4,8000,5 000–15 000 ₽
2036,Компонент загрузки файлов,UI-компонент,Angular,7,3000,до 5 000 ₽
2037,Прогноз оттока клиентов,ML-модель,PyTorch,11,12000,5 000–15 000 ₽
2038,Ускорение отчётов PostgreSQL,Оптимизация SQL,PostgreSQL,10,8000,5 000–15 000 ₽
2039,Приложение трекинга тренировок,Мобильное приложение,React Native+TS,9,37000,30 000–60 000 ₽
2040,React-таблица с сортировкой,UI-компонент,Angular,10,4000,до 5 000 ₽
2041,API авторизации JWT и OAuth,Написание API,Spring Boot,7,25000,15 000–30 000 ₽
2042,MVP SaaS с подпиской,Fullstack-разработка,React+Spring Boot,13,109000,60 000–120 000 ₽
2043,Accordion FAQ,UI-компонент,Vue.js,3,7000,5 000–15 000 ₽
2044,Приложение трекинга тренировок,Мобильное приложение,Swift (iOS),56,81600,60 000–120 000 ₽
